Dx,Dy,Dz
-2.4507,-3.0052,-2.0792
-3.2693,-2.3733,-1.7433
-1.6151,1.2122,-3.9092
2.6404,-0.61067,-3.4663
-2.2947,-2.9879,2.2731
-3.2832,2.2216,-1.9092
4.3225,0.73082,0.37692
-1.4584,-4.0651,-0.84159
-0.29053,3.9479,-1.9208
-4.0256,0.83413,-1.5679
0.60948,4.2294,1.049
3.3477,0.38375,2.8295
-2.7901,3.0279,1.5515
-0.79043,-4.1799,1.1243
4.2988,0.52337,0.77855
-4.3628,0.028394,0.57006
-2.1619,-2.9434,2.4541
-1.9216,-3.7864,1.1536
0.51251,1.4702,4.1153
3.663,-2.0959,-1.2448
-4.1609,-1.0132,-1.0099
0.64556,4.3469,-0.21921
4.3029,-0.50975,-0.76517
-0.36228,-3.8898,2.0244
-4.0339,-1.6557,0.58829
2.7861,-2.8784,1.8201
0.068129,4.1205,1.5417
-4.2819,-1.0115,0.047638
4.1106,0.80553,1.3469
0.69859,2.4153,3.6108
1.9457,3.9045,0.57387
3.7837,-1.6701,1.5014
3.1475,2.5752,-1.6797
2.6645,2.6556,-2.2821
2.0353,-1.2084,-3.7091
2.3752,3.0395,-2.1166
-3.1371,-2.5632,-1.7173
3.2321,2.401,-1.7744
1.6587,-1.2312,-3.885
-2.8027,0.5546,-3.3463
2.2809,3.0364,2.2221
3.2374,-2.2582,-1.9442
-4.3076,-0.80463,0.39623
1.4501,4.0549,-0.9029
0.15441,-3.8317,-2.1574
4.0078,-0.81772,-1.6214
-0.64448,-4.2395,0.98535
-3.3357,-0.37027,2.8453
2.7819,-3.029,1.5641
0.84253,4.1434,1.2176
-4.294,-0.55612,0.78252
4.3709,-0.028439,0.50425
2.1477,2.9472,2.462
1.9548,3.7577,1.191
-0.43892,-1.5493,4.0948
-3.672,2.0664,-1.2675
4.1794,0.91209,-1.0299
-0.65599,-4.3476,-0.1673
-4.3272,0.42341,-0.67502
0.42464,3.9084,1.9759
4.0123,1.7406,0.48168
-2.7273,2.9476,1.7981
-0.084527,-4.1318,1.5104
4.2863,0.99344,-0.026789
-4.1447,-0.7377,1.2796
-0.57204,-2.4026,3.6415
-2.0171,-3.861,0.61973
-3.7063,1.8603,1.4707
-2.7253,-2.693,-2.1635
-2.1272,1.0888,-3.6945
0.51319,-1.7272,3.0006
-0.86956,1.6452,2.9643
-0.5204,1.7508,2.9856
0.91253,-1.673,2.9357
1.2628,-3.1553,0.096429
-3.3315,1.7037,1.4138
2.382,-2.7933,1.5886
-2.2444,-1.6352,-2.8791
-0.19993,-2.6126,-2.1666
0.90179,-1.6299,-2.8443
-0.82232,3.0602,1.2325
-2.479,2.2974,0.36925
3.1201,-2.0411,1.4488
2.8176,-2.8294,0.23562
-2.056,2.6458,2.1846
2.2464,1.7866,-2.786
3.5472,0.26693,1.8292
3.0402,1.5192,0.09642
-1.4223,-3.4607,1.4144
2.5874,2.6042,1.5886
1.8148,-2.1013,-2.8794
-0.29194,-1.8131,2.8614
2.6201,0.016731,-2.1667
1.5504,1.033,-2.8442
-2.9816,-1.0725,1.2328
-2.0838,-2.6611,0.36925
1.7767,3.2778,1.4488
2.5865,3.0421,0.23567
-2.4665,-2.2681,2.1846
-1.9663,2.0906,-2.7862
-0.55853,3.5133,1.8288
-0.20632,-3.3925,0.092255
-2.2847,2.9605,1.4197
0.96353,-3.5442,1.5844
-2.7306,-0.51789,-2.8767
-1.423,1.1571,2.8629
-1.2957,-2.276,-2.1681
0.11778,-1.855,-2.8469
0.56414,3.1162,1.2374
-1.2599,3.1359,0.37268
1.9523,-3.1778,1.4457
1.342,-3.7611,0.23071
-0.73063,3.2672,2.1889
2.7944,0.65767,-2.7855
3.3239,-1.2738,1.8246
-2.836,1.873,0.095622
3.7066,0.49854,1.4188
-3.5493,0.93774,1.5884
0.91506,2.6268,-2.8745
1.715,0.65049,2.8628
-1.3228,2.2623,-2.1661
-1.6681,0.82945,-2.8442
2.4171,-2.0485,1.2333
3.3455,-0.47924,0.37181
-3.7278,-0.10278,1.4468
-3.928,0.719,0.23279
3.1953,-1.0032,2.1872
-0.82673,-2.7466,-2.788
-2.7652,-2.2412,1.825
2.422,2.3843,0.096444
-0.28387,-3.7308,1.4144
1.6552,3.2766,1.5887
2.3757,-1.4376,-2.8791
0.28272,-1.8141,2.8617
2.4869,0.82562,-2.1665
1.1543,1.4614,-2.8446
-2.5044,-1.9414,1.2325
-1.1605,-3.1744,0.36922
0.67674,3.6663,1.4493
1.5193,3.6927,0.23571
-1.6452,-2.9192,2.1845
-2.5158,1.3812,-2.7862
-1.6174,3.1685,1.8289
0.84739,-3.2914,0.09229
-3.0862,2.111,1.4208
2.0118,-3.0728,1.5846
-2.4425,-1.3334,-2.8734
-1.7153,0.66004,2.8605
-0.52707,-2.5651,-2.1685
0.68481,-1.728,-2.8469
-0.42811,3.1378,1.2373
-2.1674,2.593,0.3727
2.8416,-2.4164,1.4445
2.4424,-3.1594,0.2305
-1.708,2.8801,2.1881
2.4549,1.4887,-2.7852
3.5559,-0.18471,1.8224
-3.2757,0.90574,0.095605
3.3715,1.6187,1.4187
-3.6653,-0.20368,1.5887
0.059678,2.781,-2.8745
1.4303,1.1493,2.8624
-1.9576,1.7426,-2.1659
-1.8424,0.27342,-2.8444
2.9317,-1.201,1.234
3.3299,0.5779,0.37157
-3.5139,-1.249,1.4466
-3.958,-0.5295,0.23282
3.3491,0.033403,2.1869
0.063136,-2.8677,-2.7878
